chgNo,description,CPT,revCode,chgAmt
100039,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,210.50
100040,DX Portable chest x-ray,71045,0320,210.25
100041,"DX chest x-ray, 2 views",71046,0320,307.00
100042,"DX SHOULDER X-RAY, COMPLETE",73030,0320,355.75
100043,"DX Knee x-ray, 1 or 2 views",73560,0320,247.50
100044,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,200.00
100045,"DX FOOT X-RAY, COMPLETE",73630,0320,70.75
100046,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,237.50
100047,"DX hand x-ray, complete",73130,0320,197.25
100048,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,233.00
100049,"DX Hip x-ray, 2 or 3 views",73502,0320,173.75
100050,DX portable chest x-ray,71045,0320,142.50
100051,"DX CHEST X-RAY, 2 VIEWS",71046,0320,249.25
100052,"DX Shoulder x-ray, complete",73030,0320,271.00
100053,"DX knee x-ray, 1 or 2 views",73560,0320,289.75
100054,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,264.50
100055,"DX Foot x-ray, complete",73630,0320,120.00
100056,"DX cervical spine x-ray, 2 or 3 views",72040,0320,212.75
100057,"DX HAND X-RAY, COMPLETE",73130,0320,134.50
100058,"DX Abdominal x-ray, 1 view",74018,0320,337.25
100059,"DX hip x-ray, 2 or 3 views",73502,0320,259.00
100060,DX PORTABLE CHEST X-RAY,71045,0320,332.75
100061,"DX Chest x-ray, 2 views",71046,0320,328.50
100062,"DX shoulder x-ray, complete",73030,0320,336.25
100063,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,164.00
100064,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,269.75
100065,"DX foot x-ray, complete",73630,0320,128.50
100066,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,90.00
100067,"DX Hand x-ray, complete",73130,0320,336.75
100068,"DX abdominal x-ray, 1 view",74018,0320,154.50
100069,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,298.25
100070,DX Portable chest x-ray,71045,0320,101.00
100071,"DX chest x-ray, 2 views",71046,0320,186.75
100072,"DX SHOULDER X-RAY, COMPLETE",73030,0320,308.50
100073,"DX Knee x-ray, 1 or 2 views",73560,0320,352.25
100074,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,206.00
100075,"DX FOOT X-RAY, COMPLETE",73630,0320,356.75
100076,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,384.50
100077,"DX hand x-ray, complete",73130,0320,63.00
100078,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,271.75
100079,"DX Hip x-ray, 2 or 3 views",73502,0320,192.50
100080,DX portable chest x-ray,71045,0320,291.25
100081,"DX CHEST X-RAY, 2 VIEWS",71046,0320,357.00
100082,"DX Shoulder x-ray, complete",73030,0320,225.75
100083,"DX knee x-ray, 1 or 2 views",73560,0320,110.50
100084,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,139.25
100085,"DX Foot x-ray, complete",73630,0320,326.00
100086,"DX cervical spine x-ray, 2 or 3 views",72040,0320,329.75
100087,"DX HAND X-RAY, COMPLETE",73130,0320,382.50
100088,"DX Abdominal x-ray, 1 view",74018,0320,258.00
100089,"DX hip x-ray, 2 or 3 views",73502,0320,149.75
100090,DX PORTABLE CHEST X-RAY,71045,0320,300.50
100091,"DX Chest x-ray, 2 views",71046,0320,357.25
100092,"DX shoulder x-ray, complete",73030,0320,349.00
100093,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,360.75
100094,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,358.50
100095,"DX foot x-ray, complete",73630,0320,269.25
100096,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,181.00
100097,"DX Hand x-ray, complete",73130,0320,178.75
100098,"DX abdominal x-ray, 1 view",74018,0320,98.50
100099,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,198.00
100100,DX Portable chest x-ray,71045,0320,175.75
100101,"DX chest x-ray, 2 views",71046,0320,309.50
100102,"DX SHOULDER X-RAY, COMPLETE",73030,0320,111.25
100103,"DX Knee x-ray, 1 or 2 views",73560,0320,157.00
100104,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,309.75
100105,"DX FOOT X-RAY, COMPLETE",73630,0320,287.50
100106,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,345.25
100107,"DX hand x-ray, complete",73130,0320,177.00
100108,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,233.75
100109,"DX Hip x-ray, 2 or 3 views",73502,0320,306.50
100110,DX portable chest x-ray,71045,0320,301.00
100111,"DX CHEST X-RAY, 2 VIEWS",71046,0320,103.75
100112,"DX Shoulder x-ray, complete",73030,0320,352.50
100113,"DX knee x-ray, 1 or 2 views",73560,0320,342.25
100114,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,94.00
100115,"DX Foot x-ray, complete",73630,0320,132.75
100116,"DX cervical spine x-ray, 2 or 3 views",72040,0320,205.50
100117,"DX HAND X-RAY, COMPLETE",73130,0320,258.25
100118,"DX Abdominal x-ray, 1 view",74018,0320,374.00
100119,"DX hip x-ray, 2 or 3 views",73502,0320,252.75
100120,DX PORTABLE CHEST X-RAY,71045,0320,197.50
100121,"DX Chest x-ray, 2 views",71046,0320,239.00
100122,"DX shoulder x-ray, complete",73030,0320,304.75
100123,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,319.50
100124,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,226.25
100125,"DX foot x-ray, complete",73630,0320,103.00
100126,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,124.75
100127,"DX Hand x-ray, complete",73130,0320,272.50
100128,"DX abdominal x-ray, 1 view",74018,0320,205.25
100129,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,252.00
100130,DX Portable chest x-ray,71045,0320,112.75
100131,"DX chest x-ray, 2 views",71046,0320,347.50
100132,"DX SHOULDER X-RAY, COMPLETE",73030,0320,283.00
100133,"DX Knee x-ray, 1 or 2 views",73560,0320,310.75
100134,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,296.50
100135,"DX FOOT X-RAY, COMPLETE",73630,0320,321.25
100136,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,306.00
100137,"DX hand x-ray, complete",73130,0320,356.75
100138,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,150.50
100139,"DX Hip x-ray, 2 or 3 views",73502,0320,118.25
100140,DX portable chest x-ray,71045,0320,310.00
100141,"DX CHEST X-RAY, 2 VIEWS",71046,0320,124.75
100142,"DX Shoulder x-ray, complete",73030,0320,195.50
100143,"DX knee x-ray, 1 or 2 views",73560,0320,90.00
100144,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,285.75
100145,"DX Foot x-ray, complete",73630,0320,342.50
100146,"DX cervical spine x-ray, 2 or 3 views",72040,0320,181.25
100147,"DX HAND X-RAY, COMPLETE",73130,0320,196.00
100148,"DX Abdominal x-ray, 1 view",74018,0320,199.75
100149,"DX hip x-ray, 2 or 3 views",73502,0320,280.50
100150,DX PORTABLE CHEST X-RAY,71045,0320,280.25
100151,"DX Chest x-ray, 2 views",71046,0320,366.00
100152,"DX shoulder x-ray, complete",73030,0320,207.75
100153,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,224.50
100154,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,130.00
100155,"DX foot x-ray, complete",73630,0320,258.75
100156,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,104.50
100157,"DX Hand x-ray, complete",73130,0320,136.25
100158,"DX abdominal x-ray, 1 view",74018,0320,195.00
100159,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,215.75
100160,DX Portable chest x-ray,71045,0320,159.50
100161,"DX chest x-ray, 2 views",71046,0320,173.25
100162,"DX SHOULDER X-RAY, COMPLETE",73030,0320,210.00
100163,"DX Knee x-ray, 1 or 2 views",73560,0320,358.75
100164,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,231.50
100165,"DX FOOT X-RAY, COMPLETE",73630,0320,290.00
100166,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,179.75
100167,"DX hand x-ray, complete",73130,0320,354.50
100168,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,286.25
100169,"DX Hip x-ray, 2 or 3 views",73502,0320,319.00
100170,DX portable chest x-ray,71045,0320,241.75
100171,"DX CHEST X-RAY, 2 VIEWS",71046,0320,142.50
100172,"DX Shoulder x-ray, complete",73030,0320,228.25
100173,"DX knee x-ray, 1 or 2 views",73560,0320,298.00
100174,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,140.75
100175,"DX Foot x-ray, complete",73630,0320,265.50
100176,"DX cervical spine x-ray, 2 or 3 views",72040,0320,287.00
100177,"DX HAND X-RAY, COMPLETE",73130,0320,229.75
100178,"DX Abdominal x-ray, 1 view",74018,0320,270.50
100179,"DX hip x-ray, 2 or 3 views",73502,0320,166.25
100180,DX PORTABLE CHEST X-RAY,71045,0320,260.00
100181,"DX Chest x-ray, 2 views",71046,0320,318.75
100182,"DX shoulder x-ray, complete",73030,0320,230.50
100183,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,208.25
100184,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,193.00
100185,"DX foot x-ray, complete",73630,0320,194.75
100186,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,257.50
100187,"DX Hand x-ray, complete",73130,0320,128.00
100188,"DX abdominal x-ray, 1 view",74018,0320,95.75
100189,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,339.50
100190,DX Portable chest x-ray,71045,0320,113.25
100191,"DX chest x-ray, 2 views",71046,0320,346.00
100192,"DX SHOULDER X-RAY, COMPLETE",73030,0320,186.75
100193,"DX Knee x-ray, 1 or 2 views",73560,0320,301.50
100194,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,358.25
100195,"DX FOOT X-RAY, COMPLETE",73630,0320,205.00
100196,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,350.75
100197,"DX hand x-ray, complete",73130,0320,296.50
100198,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,162.00
100199,"DX Hip x-ray, 2 or 3 views",73502,0320,283.75
100200,DX portable chest x-ray,71045,0320,134.50
100201,"DX CHEST X-RAY, 2 VIEWS",71046,0320,318.25
100202,"DX Shoulder x-ray, complete",73030,0320,152.00
100203,"DX knee x-ray, 1 or 2 views",73560,0320,342.75
100204,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,156.50
100205,"DX Foot x-ray, complete",73630,0320,278.25
100206,"DX cervical spine x-ray, 2 or 3 views",72040,0320,309.00
100207,"DX HAND X-RAY, COMPLETE",73130,0320,243.75
100208,"DX Abdominal x-ray, 1 view",74018,0320,347.50
100209,"DX hip x-ray, 2 or 3 views",73502,0320,119.00
100210,DX PORTABLE CHEST X-RAY,71045,0320,79.75
100211,"DX Chest x-ray, 2 views",71046,0320,186.50
100212,"DX shoulder x-ray, complete",73030,0320,342.25
100213,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,320.00
100214,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,118.75
100215,"DX foot x-ray, complete",73630,0320,199.50
100216,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,203.25
100217,"DX Hand x-ray, complete",73130,0320,164.00
100218,"DX abdominal x-ray, 1 view",74018,0320,248.75
100219,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,345.50
100220,DX Portable chest x-ray,71045,0320,275.00
100221,"DX chest x-ray, 2 views",71046,0320,173.75
100222,"DX SHOULDER X-RAY, COMPLETE",73030,0320,155.50
100223,"DX Knee x-ray, 1 or 2 views",73560,0320,245.25
100224,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,186.00
100225,"DX FOOT X-RAY, COMPLETE",73630,0320,359.75
100226,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,166.50
100227,"DX hand x-ray, complete",73130,0320,96.25
100228,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,333.00
100229,"DX Hip x-ray, 2 or 3 views",73502,0320,281.75
100230,DX portable chest x-ray,71045,0320,106.50
100231,"DX CHEST X-RAY, 2 VIEWS",71046,0320,194.00
100232,"DX Shoulder x-ray, complete",73030,0320,210.75
100233,"DX knee x-ray, 1 or 2 views",73560,0320,302.50
100234,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,73.25
100235,"DX Foot x-ray, complete",73630,0320,360.00
100236,"DX cervical spine x-ray, 2 or 3 views",72040,0320,226.75
100237,"DX HAND X-RAY, COMPLETE",73130,0320,266.50
100238,"DX Abdominal x-ray, 1 view",74018,0320,106.25
100239,"DX hip x-ray, 2 or 3 views",73502,0320,254.00
100240,DX PORTABLE CHEST X-RAY,71045,0320,374.75
100241,"DX Chest x-ray, 2 views",71046,0320,115.50
100242,"DX shoulder x-ray, complete",73030,0320,128.00
100243,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,96.75
100244,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,228.50
100245,"DX foot x-ray, complete",73630,0320,257.25
100246,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,132.00
100247,"DX Hand x-ray, complete",73130,0320,236.75
100248,"DX abdominal x-ray, 1 view",74018,0320,183.50
100249,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,202.25
100250,DX Portable chest x-ray,71045,0320,158.00
100251,"DX chest x-ray, 2 views",71046,0320,173.75
100252,"DX SHOULDER X-RAY, COMPLETE",73030,0320,149.50
100253,"DX Knee x-ray, 1 or 2 views",73560,0320,145.00
100254,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,168.75
100255,"DX FOOT X-RAY, COMPLETE",73630,0320,276.50
100256,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,94.25
100257,"DX hand x-ray, complete",73130,0320,314.00
100258,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,340.75
100259,"DX Hip x-ray, 2 or 3 views",73502,0320,227.50
100260,DX portable chest x-ray,71045,0320,233.25
100261,"DX CHEST X-RAY, 2 VIEWS",71046,0320,342.00
100262,"DX Shoulder x-ray, complete",73030,0320,342.75
100263,"DX knee x-ray, 1 or 2 views",73560,0320,269.50
100264,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,192.00
100265,"DX Foot x-ray, complete",73630,0320,317.75
100266,"DX cervical spine x-ray, 2 or 3 views",72040,0320,275.50
100267,"DX HAND X-RAY, COMPLETE",73130,0320,259.25
100268,"DX Abdominal x-ray, 1 view",74018,0320,253.00
100269,"DX hip x-ray, 2 or 3 views",73502,0320,342.75
100270,DX PORTABLE CHEST X-RAY,71045,0320,251.50
100271,"DX Chest x-ray, 2 views",71046,0320,113.25
100272,"DX shoulder x-ray, complete",73030,0320,148.00
100273,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,148.75
100274,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,327.50
100275,"DX foot x-ray, complete",73630,0320,305.00
100276,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,103.75
100277,"DX Hand x-ray, complete",73130,0320,123.50
100278,"DX abdominal x-ray, 1 view",74018,0320,175.25
100279,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,274.00
100280,DX Portable chest x-ray,71045,0320,265.75
100281,"DX chest x-ray, 2 views",71046,0320,184.50
100282,"DX SHOULDER X-RAY, COMPLETE",73030,0320,366.25
100283,"DX Knee x-ray, 1 or 2 views",73560,0320,295.00
100284,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,231.75
100285,"DX FOOT X-RAY, COMPLETE",73630,0320,384.50
100286,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,146.00
100287,"DX hand x-ray, complete",73130,0320,139.75
100288,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,179.50
100289,"DX Hip x-ray, 2 or 3 views",73502,0320,82.25
100290,DX portable chest x-ray,71045,0320,352.00
100291,"DX CHEST X-RAY, 2 VIEWS",71046,0320,199.75
100292,"DX Shoulder x-ray, complete",73030,0320,222.50
100293,"DX knee x-ray, 1 or 2 views",73560,0320,263.25
100294,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,161.00
100295,"DX Foot x-ray, complete",73630,0320,341.75
100296,"DX cervical spine x-ray, 2 or 3 views",72040,0320,268.50
100297,"DX HAND X-RAY, COMPLETE",73130,0320,213.00
100298,"DX Abdominal x-ray, 1 view",74018,0320,231.75
100299,"DX hip x-ray, 2 or 3 views",73502,0320,239.50
100300,DX PORTABLE CHEST X-RAY,71045,0320,305.25
100301,"DX Chest x-ray, 2 views",71046,0320,171.00
100302,"DX shoulder x-ray, complete",73030,0320,161.75
100303,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,128.50
100304,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,322.25
100305,"DX foot x-ray, complete",73630,0320,226.00
100306,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,106.75
100307,"DX Hand x-ray, complete",73130,0320,371.50
100308,"DX abdominal x-ray, 1 view",74018,0320,268.00
100309,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,225.75
100310,DX Portable chest x-ray,71045,0320,155.50
100311,"DX chest x-ray, 2 views",71046,0320,327.25
100312,"DX SHOULDER X-RAY, COMPLETE",73030,0320,186.00
100313,"DX Knee x-ray, 1 or 2 views",73560,0320,78.75
100314,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,167.50
100315,"DX FOOT X-RAY, COMPLETE",73630,0320,316.25
100316,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,254.00
100317,"DX hand x-ray, complete",73130,0320,193.75
100318,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,274.50
100319,"DX Hip x-ray, 2 or 3 views",73502,0320,317.00
100320,DX portable chest x-ray,71045,0320,169.75
100321,"DX CHEST X-RAY, 2 VIEWS",71046,0320,110.50
100322,"DX Shoulder x-ray, complete",73030,0320,187.25
100323,"DX knee x-ray, 1 or 2 views",73560,0320,182.00
100324,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,292.75
100325,"DX Foot x-ray, complete",73630,0320,148.50
100326,"DX cervical spine x-ray, 2 or 3 views",72040,0320,271.25
100327,"DX HAND X-RAY, COMPLETE",73130,0320,131.00
100328,"DX Abdominal x-ray, 1 view",74018,0320,117.75
100329,"DX hip x-ray, 2 or 3 views",73502,0320,264.50
100330,DX PORTABLE CHEST X-RAY,71045,0320,75.00
100331,"DX Chest x-ray, 2 views",71046,0320,336.75
100332,"DX shoulder x-ray, complete",73030,0320,130.50
100333,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,169.25
100334,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,273.00
100335,"DX foot x-ray, complete",73630,0320,231.75
100336,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,135.50
100337,"DX Hand x-ray, complete",73130,0320,260.25
100338,"DX abdominal x-ray, 1 view",74018,0320,114.00
100339,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,303.75
100340,DX Portable chest x-ray,71045,0320,302.50
100341,"DX chest x-ray, 2 views",71046,0320,314.00
100342,"DX SHOULDER X-RAY, COMPLETE",73030,0320,274.75
100343,"DX Knee x-ray, 1 or 2 views",73560,0320,179.50
100344,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,157.25
100345,"DX FOOT X-RAY, COMPLETE",73630,0320,241.00
100346,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,96.75
100347,"DX hand x-ray, complete",73130,0320,268.50
100348,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,166.25
100349,"DX Hip x-ray, 2 or 3 views",73502,0320,335.00
100350,DX portable chest x-ray,71045,0320,184.75
100351,"DX CHEST X-RAY, 2 VIEWS",71046,0320,375.50
100352,"DX Shoulder x-ray, complete",73030,0320,126.00
100353,"DX knee x-ray, 1 or 2 views",73560,0320,215.75
100354,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,347.50
100355,"DX Foot x-ray, complete",73630,0320,329.25
100356,"DX cervical spine x-ray, 2 or 3 views",72040,0320,258.00
100357,"DX HAND X-RAY, COMPLETE",73130,0320,118.75
100358,"DX Abdominal x-ray, 1 view",74018,0320,223.50
100359,"DX hip x-ray, 2 or 3 views",73502,0320,251.25
100360,DX PORTABLE CHEST X-RAY,71045,0320,303.00
100361,"DX Chest x-ray, 2 views",71046,0320,137.75
100362,"DX shoulder x-ray, complete",73030,0320,348.50
100363,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,140.00
100364,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,318.75
100365,"DX foot x-ray, complete",73630,0320,337.50
100366,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,301.25
100367,"DX Hand x-ray, complete",73130,0320,268.00
100368,"DX abdominal x-ray, 1 view",74018,0320,323.75
100369,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,115.50
100370,DX Portable chest x-ray,71045,0320,307.25
100371,"DX chest x-ray, 2 views",71046,0320,218.00
100372,"DX SHOULDER X-RAY, COMPLETE",73030,0320,359.75
100373,"DX Knee x-ray, 1 or 2 views",73560,0320,199.50
100374,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,159.00
100375,"DX FOOT X-RAY, COMPLETE",73630,0320,253.75
100376,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,288.50
100377,"DX hand x-ray, complete",73130,0320,251.25
100378,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,186.00
100379,"DX Hip x-ray, 2 or 3 views",73502,0320,316.75
100380,DX portable chest x-ray,71045,0320,179.50
100381,"DX CHEST X-RAY, 2 VIEWS",71046,0320,237.25
100382,"DX Shoulder x-ray, complete",73030,0320,362.00
100383,"DX knee x-ray, 1 or 2 views",73560,0320,252.75
100384,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,189.50
100385,"DX Foot x-ray, complete",73630,0320,164.00
100386,"DX cervical spine x-ray, 2 or 3 views",72040,0320,98.75
100387,"DX HAND X-RAY, COMPLETE",73130,0320,200.50
100388,"DX Abdominal x-ray, 1 view",74018,0320,339.25
100389,"DX hip x-ray, 2 or 3 views",73502,0320,322.00
100390,DX PORTABLE CHEST X-RAY,71045,0320,156.75
100391,"DX Chest x-ray, 2 views",71046,0320,208.50
100392,"DX shoulder x-ray, complete",73030,0320,372.25
100393,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,302.00
100394,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,93.75
100395,"DX foot x-ray, complete",73630,0320,283.50
100396,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,264.00
100397,"DX Hand x-ray, complete",73130,0320,265.75
100398,"DX abdominal x-ray, 1 view",74018,0320,113.50
100399,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,0320,288.25
100400,DX Portable chest x-ray,71045,0320,207.00
100401,"DX chest x-ray, 2 views",71046,0320,185.75
100402,"DX SHOULDER X-RAY, COMPLETE",73030,0320,282.50
100403,"DX Knee x-ray, 1 or 2 views",73560,0320,177.25
100404,"DX lumbar spine x-ray, 2 or 3 views",72100,0320,248.00
100405,"DX FOOT X-RAY, COMPLETE",73630,0320,176.75
100406,"DX Cervical spine x-ray, 2 or 3 views",72040,0320,352.50
100407,"DX hand x-ray, complete",73130,0320,160.00
100408,"DX ABDOMINAL X-RAY, 1 VIEW",74018,0320,293.75
100409,"DX Hip x-ray, 2 or 3 views",73502,0320,72.50
100410,DX portable chest x-ray,71045,0320,250.25
100411,"DX CHEST X-RAY, 2 VIEWS",71046,0320,172.00
100412,"DX Shoulder x-ray, complete",73030,0320,178.75
100413,"DX knee x-ray, 1 or 2 views",73560,0320,83.50
100414,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,0320,239.25
100415,"DX Foot x-ray, complete",73630,0320,216.00
100416,"DX cervical spine x-ray, 2 or 3 views",72040,0320,129.75
100417,"DX HAND X-RAY, COMPLETE",73130,0320,294.50
100418,"DX Abdominal x-ray, 1 view",74018,0320,98.00
100419,"DX hip x-ray, 2 or 3 views",73502,0320,213.75
100420,DX PORTABLE CHEST X-RAY,71045,0320,287.50
100421,"DX Chest x-ray, 2 views",71046,0320,345.25
100422,"DX shoulder x-ray, complete",73030,0320,210.00
100423,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,0320,153.75
100424,"DX Lumbar spine x-ray, 2 or 3 views",72100,0320,351.50
100425,"DX foot x-ray, complete",73630,0320,114.25
100426,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,0320,297.00
