chgNo,description,CPT,revCode,chgAmt
100055,"DX FOOT X-RAY, COMPLETE",73630,320,120.00
100056,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,212.75
100057,"DX HAND X-RAY, COMPLETE",73130,320,134.50
100058,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,337.25
100059,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,259.00
100060,DX PORTABLE CHEST X-RAY,71045,320,332.75
100061,"DX CHEST X-RAY, 2 VIEWS",71046,320,328.50
100062,"DX SHOULDER X-RAY, COMPLETE",73030,320,336.25
100063,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,164.00
100064,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,269.75
100065,"DX FOOT X-RAY, COMPLETE",73630,320,128.50
100066,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,90.00
100067,"DX HAND X-RAY, COMPLETE",73130,320,336.75
100068,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,154.50
100069,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,298.25
100070,DX PORTABLE CHEST X-RAY,71045,320,101.00
100071,"DX CHEST X-RAY, 2 VIEWS",71046,320,186.75
100072,"DX SHOULDER X-RAY, COMPLETE",73030,320,308.50
100073,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,352.25
100074,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,206.00
100075,"DX FOOT X-RAY, COMPLETE",73630,320,356.75
100076,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,384.50
100077,"DX HAND X-RAY, COMPLETE",73130,320,63.00
100078,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,271.75
100079,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,192.50
100080,DX PORTABLE CHEST X-RAY,71045,320,291.25
100081,"DX CHEST X-RAY, 2 VIEWS",71046,320,357.00
100082,"DX SHOULDER X-RAY, COMPLETE",73030,320,225.75
100083,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,110.50
100084,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,139.25
100085,"DX FOOT X-RAY, COMPLETE",73630,320,326.00
100086,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,329.75
100087,"DX HAND X-RAY, COMPLETE",73130,320,382.50
100088,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,258.00
100089,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,149.75
100090,DX PORTABLE CHEST X-RAY,71045,320,300.50
100091,"DX CHEST X-RAY, 2 VIEWS",71046,320,357.25
100092,"DX SHOULDER X-RAY, COMPLETE",73030,320,349.00
100093,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,360.75
100094,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,358.50
100095,"DX FOOT X-RAY, COMPLETE",73630,320,269.25
100096,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,181.00
100097,"DX HAND X-RAY, COMPLETE",73130,320,178.75
100098,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,98.50
100099,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,198.00
100100,DX PORTABLE CHEST X-RAY,71045,320,175.75
100101,"DX CHEST X-RAY, 2 VIEWS",71046,320,309.50
100102,"DX SHOULDER X-RAY, COMPLETE",73030,320,111.25
100103,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,157.00
100104,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,309.75
100105,"DX FOOT X-RAY, COMPLETE",73630,320,287.50
100106,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,345.25
100107,"DX HAND X-RAY, COMPLETE",73130,320,177.00
100108,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,233.75
100109,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,306.50
100110,DX PORTABLE CHEST X-RAY,71045,320,301.00
100111,"DX CHEST X-RAY, 2 VIEWS",71046,320,103.75
100112,"DX SHOULDER X-RAY, COMPLETE",73030,320,352.50
100113,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,342.25
100114,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,94.00
100115,"DX FOOT X-RAY, COMPLETE",73630,320,132.75
100116,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,205.50
100117,"DX HAND X-RAY, COMPLETE",73130,320,258.25
100118,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,374.00
100119,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,252.75
100120,DX PORTABLE CHEST X-RAY,71045,320,197.50
100121,"DX CHEST X-RAY, 2 VIEWS",71046,320,239.00
100122,"DX SHOULDER X-RAY, COMPLETE",73030,320,304.75
100123,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,319.50
100124,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,226.25
100125,"DX FOOT X-RAY, COMPLETE",73630,320,103.00
100126,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,124.75
100127,"DX HAND X-RAY, COMPLETE",73130,320,272.50
100128,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,205.25
100129,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,252.00
100130,DX PORTABLE CHEST X-RAY,71045,320,112.75
100131,"DX CHEST X-RAY, 2 VIEWS",71046,320,347.50
100132,"DX SHOULDER X-RAY, COMPLETE",73030,320,283.00
100133,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,310.75
100134,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,296.50
100135,"DX FOOT X-RAY, COMPLETE",73630,320,321.25
100136,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,306.00
100137,"DX HAND X-RAY, COMPLETE",73130,320,356.75
100138,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,150.50
100139,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,118.25
100140,DX PORTABLE CHEST X-RAY,71045,320,310.00
100141,"DX CHEST X-RAY, 2 VIEWS",71046,320,124.75
100142,"DX SHOULDER X-RAY, COMPLETE",73030,320,195.50
100143,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,90.00
100144,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,285.75
100145,"DX FOOT X-RAY, COMPLETE",73630,320,342.50
100146,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,181.25
100147,"DX HAND X-RAY, COMPLETE",73130,320,196.00
100148,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,199.75
100149,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,280.50
100150,DX PORTABLE CHEST X-RAY,71045,320,280.25
100151,"DX CHEST X-RAY, 2 VIEWS",71046,320,366.00
100152,"DX SHOULDER X-RAY, COMPLETE",73030,320,207.75
100153,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,224.50
100154,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,130.00
100155,"DX FOOT X-RAY, COMPLETE",73630,320,258.75
100156,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,104.50
100157,"DX HAND X-RAY, COMPLETE",73130,320,136.25
100158,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,195.00
100159,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,215.75
100160,DX PORTABLE CHEST X-RAY,71045,320,159.50
100161,"DX CHEST X-RAY, 2 VIEWS",71046,320,173.25
100162,"DX SHOULDER X-RAY, COMPLETE",73030,320,210.00
100163,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,358.75
100164,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,231.50
100165,"DX FOOT X-RAY, COMPLETE",73630,320,290.00
100166,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,179.75
100167,"DX HAND X-RAY, COMPLETE",73130,320,354.50
100168,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,286.25
100169,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,319.00
100170,DX PORTABLE CHEST X-RAY,71045,320,241.75
100171,"DX CHEST X-RAY, 2 VIEWS",71046,320,142.50
100172,"DX SHOULDER X-RAY, COMPLETE",73030,320,228.25
100173,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,298.00
100174,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,140.75
100175,"DX FOOT X-RAY, COMPLETE",73630,320,265.50
100176,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,287.00
100177,"DX HAND X-RAY, COMPLETE",73130,320,229.75
100178,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,270.50
100179,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,166.25
100180,DX PORTABLE CHEST X-RAY,71045,320,260.00
100181,"DX CHEST X-RAY, 2 VIEWS",71046,320,318.75
100182,"DX SHOULDER X-RAY, COMPLETE",73030,320,230.50
100183,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,208.25
100184,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,193.00
100185,"DX FOOT X-RAY, COMPLETE",73630,320,194.75
100186,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,257.50
100187,"DX HAND X-RAY, COMPLETE",73130,320,128.00
100188,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,95.75
100189,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,339.50
100190,DX PORTABLE CHEST X-RAY,71045,320,113.25
100191,"DX CHEST X-RAY, 2 VIEWS",71046,320,346.00
100192,"DX SHOULDER X-RAY, COMPLETE",73030,320,186.75
100193,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,301.50
100194,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,358.25
100195,"DX FOOT X-RAY, COMPLETE",73630,320,205.00
100196,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,350.75
100197,"DX HAND X-RAY, COMPLETE",73130,320,296.50
100198,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,162.00
100199,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,283.75
100200,DX PORTABLE CHEST X-RAY,71045,320,134.50
100201,"DX CHEST X-RAY, 2 VIEWS",71046,320,318.25
100202,"DX SHOULDER X-RAY, COMPLETE",73030,320,152.00
100203,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,342.75
100204,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,156.50
100205,"DX FOOT X-RAY, COMPLETE",73630,320,278.25
100206,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,309.00
100207,"DX HAND X-RAY, COMPLETE",73130,320,243.75
100208,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,347.50
100209,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,119.00
100210,DX PORTABLE CHEST X-RAY,71045,320,79.75
100211,"DX CHEST X-RAY, 2 VIEWS",71046,320,186.50
100212,"DX SHOULDER X-RAY, COMPLETE",73030,320,342.25
100213,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,320.00
100214,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,118.75
100215,"DX FOOT X-RAY, COMPLETE",73630,320,199.50
100216,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,203.25
100217,"DX HAND X-RAY, COMPLETE",73130,320,164.00
100218,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,248.75
100219,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,345.50
100220,DX PORTABLE CHEST X-RAY,71045,320,275.00
100221,"DX CHEST X-RAY, 2 VIEWS",71046,320,173.75
100222,"DX SHOULDER X-RAY, COMPLETE",73030,320,155.50
100223,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,245.25
100224,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,186.00
100225,"DX FOOT X-RAY, COMPLETE",73630,320,359.75
100226,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,166.50
100227,"DX HAND X-RAY, COMPLETE",73130,320,96.25
100228,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,333.00
100229,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,281.75
100230,DX PORTABLE CHEST X-RAY,71045,320,106.50
100231,"DX CHEST X-RAY, 2 VIEWS",71046,320,194.00
100232,"DX SHOULDER X-RAY, COMPLETE",73030,320,210.75
100233,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,302.50
100234,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,73.25
100235,"DX FOOT X-RAY, COMPLETE",73630,320,360.00
100236,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,226.75
100237,"DX HAND X-RAY, COMPLETE",73130,320,266.50
100238,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,106.25
100239,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,254.00
100240,DX PORTABLE CHEST X-RAY,71045,320,374.75
100241,"DX CHEST X-RAY, 2 VIEWS",71046,320,115.50
100242,"DX SHOULDER X-RAY, COMPLETE",73030,320,128.00
100243,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,96.75
100244,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,228.50
100245,"DX FOOT X-RAY, COMPLETE",73630,320,257.25
100246,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,132.00
100247,"DX HAND X-RAY, COMPLETE",73130,320,236.75
100248,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,183.50
100249,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,202.25
100250,DX PORTABLE CHEST X-RAY,71045,320,158.00
100251,"DX CHEST X-RAY, 2 VIEWS",71046,320,173.75
100252,"DX SHOULDER X-RAY, COMPLETE",73030,320,149.50
100253,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,145.00
100254,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,168.75
100255,"DX FOOT X-RAY, COMPLETE",73630,320,276.50
100256,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,94.25
100257,"DX HAND X-RAY, COMPLETE",73130,320,314.00
100258,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,340.75
100259,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,227.50
100260,DX PORTABLE CHEST X-RAY,71045,320,233.25
100261,"DX CHEST X-RAY, 2 VIEWS",71046,320,342.00
100262,"DX SHOULDER X-RAY, COMPLETE",73030,320,342.75
100263,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,269.50
100264,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,192.00
100265,"DX FOOT X-RAY, COMPLETE",73630,320,317.75
100266,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,275.50
100267,"DX HAND X-RAY, COMPLETE",73130,320,259.25
100268,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,253.00
100269,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,342.75
100270,DX PORTABLE CHEST X-RAY,71045,320,251.50
100271,"DX CHEST X-RAY, 2 VIEWS",71046,320,113.25
100272,"DX SHOULDER X-RAY, COMPLETE",73030,320,148.00
100273,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,148.75
100274,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,327.50
100275,"DX FOOT X-RAY, COMPLETE",73630,320,305.00
100276,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,103.75
100277,"DX HAND X-RAY, COMPLETE",73130,320,123.50
100278,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,175.25
100279,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,274.00
100280,DX PORTABLE CHEST X-RAY,71045,320,265.75
100281,"DX CHEST X-RAY, 2 VIEWS",71046,320,184.50
100282,"DX SHOULDER X-RAY, COMPLETE",73030,320,366.25
100283,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,295.00
100284,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,231.75
100285,"DX FOOT X-RAY, COMPLETE",73630,320,384.50
100286,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,146.00
100287,"DX HAND X-RAY, COMPLETE",73130,320,139.75
100288,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,179.50
100289,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,82.25
100290,DX PORTABLE CHEST X-RAY,71045,320,352.00
100291,"DX CHEST X-RAY, 2 VIEWS",71046,320,199.75
100292,"DX SHOULDER X-RAY, COMPLETE",73030,320,222.50
100293,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,263.25
100294,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,161.00
100295,"DX FOOT X-RAY, COMPLETE",73630,320,341.75
100296,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,268.50
100297,"DX HAND X-RAY, COMPLETE",73130,320,213.00
100298,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,231.75
100299,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,239.50
100300,DX PORTABLE CHEST X-RAY,71045,320,305.25
100301,"DX CHEST X-RAY, 2 VIEWS",71046,320,171.00
100302,"DX SHOULDER X-RAY, COMPLETE",73030,320,161.75
100303,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,128.50
100304,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,322.25
100305,"DX FOOT X-RAY, COMPLETE",73630,320,226.00
100306,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,106.75
100307,"DX HAND X-RAY, COMPLETE",73130,320,371.50
100308,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,268.00
100309,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,225.75
100310,DX PORTABLE CHEST X-RAY,71045,320,155.50
100311,"DX CHEST X-RAY, 2 VIEWS",71046,320,327.25
100312,"DX SHOULDER X-RAY, COMPLETE",73030,320,186.00
100313,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,78.75
100314,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,167.50
100315,"DX FOOT X-RAY, COMPLETE",73630,320,316.25
100316,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,254.00
100317,"DX HAND X-RAY, COMPLETE",73130,320,193.75
100318,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,274.50
100319,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,317.00
100320,DX PORTABLE CHEST X-RAY,71045,320,169.75
100321,"DX CHEST X-RAY, 2 VIEWS",71046,320,110.50
100322,"DX SHOULDER X-RAY, COMPLETE",73030,320,187.25
100323,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,182.00
100324,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,292.75
100325,"DX FOOT X-RAY, COMPLETE",73630,320,148.50
100326,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,271.25
100327,"DX HAND X-RAY, COMPLETE",73130,320,131.00
100328,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,117.75
100329,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,264.50
100330,DX PORTABLE CHEST X-RAY,71045,320,75.00
100331,"DX CHEST X-RAY, 2 VIEWS",71046,320,336.75
100332,"DX SHOULDER X-RAY, COMPLETE",73030,320,130.50
100333,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,169.25
100334,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,273.00
100335,"DX FOOT X-RAY, COMPLETE",73630,320,231.75
100336,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,135.50
100337,"DX HAND X-RAY, COMPLETE",73130,320,260.25
100338,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,114.00
100339,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,303.75
100340,DX PORTABLE CHEST X-RAY,71045,320,302.50
100341,"DX CHEST X-RAY, 2 VIEWS",71046,320,314.00
100342,"DX SHOULDER X-RAY, COMPLETE",73030,320,274.75
100343,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,179.50
100344,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,157.25
100345,"DX FOOT X-RAY, COMPLETE",73630,320,241.00
100346,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,96.75
100347,"DX HAND X-RAY, COMPLETE",73130,320,268.50
100348,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,166.25
100349,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,335.00
100350,DX PORTABLE CHEST X-RAY,71045,320,184.75
100351,"DX CHEST X-RAY, 2 VIEWS",71046,320,375.50
100352,"DX SHOULDER X-RAY, COMPLETE",73030,320,126.00
100353,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,215.75
100354,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,347.50
100355,"DX FOOT X-RAY, COMPLETE",73630,320,329.25
100356,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,258.00
100357,"DX HAND X-RAY, COMPLETE",73130,320,118.75
100358,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,223.50
100359,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,251.25
100360,DX PORTABLE CHEST X-RAY,71045,320,303.00
100361,"DX CHEST X-RAY, 2 VIEWS",71046,320,137.75
100362,"DX SHOULDER X-RAY, COMPLETE",73030,320,348.50
100363,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,140.00
100364,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,318.75
100365,"DX FOOT X-RAY, COMPLETE",73630,320,337.50
100366,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,301.25
100367,"DX HAND X-RAY, COMPLETE",73130,320,268.00
100368,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,323.75
100369,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,115.50
100370,DX PORTABLE CHEST X-RAY,71045,320,307.25
100371,"DX CHEST X-RAY, 2 VIEWS",71046,320,218.00
100372,"DX SHOULDER X-RAY, COMPLETE",73030,320,359.75
100373,"DX KNEE X-RAY, 1 OR 2 VIEWS",73560,320,199.50
100374,"DX LUMBAR SPINE X-RAY, 2 OR 3 VIEWS",72100,320,159.00
100375,"DX FOOT X-RAY, COMPLETE",73630,320,253.75
100376,"DX CERVICAL SPINE X-RAY, 2 OR 3 VIEWS",72040,320,288.50
100377,"DX HAND X-RAY, COMPLETE",73130,320,251.25
100378,"DX ABDOMINAL X-RAY, 1 VIEW",74018,320,186.00
100379,"DX HIP X-RAY, 2 OR 3 VIEWS",73502,320,316.75
100380,DX PORTABLE CHEST X-RAY,71045,320,179.50
100381,"DX CHEST X-RAY, 2 VIEWS",71046,320,237.25
